Address,Data Type,Nickname,Initial Value,Retentive,Address Comment
X001,BIT,"On",0,No,""
X002,BIT,"Off",0,No,""
C1,BIT,"On2",0,No,""
DS1,INT,"SmallestInt",0,Yes,""
DS2,INT,"LargestInt",0,Yes,""
DS3,INT,"MeaningOfLife",0,Yes,""
DS4,INT,"Negative1Int",0,Yes,""
DD1,INT2,"SmallestDint",0,Yes,""
DD2,INT2,"LargestDint",0,Yes,""
DD3,INT2,"KidMeme",0,Yes,""
DD4,INT,"Negative1Dint",0,Yes,""
DH1,HEX,"SmallestHex",0,Yes,""
DH2,HEX,"LargestHex",0,Yes,""
DH3,HEX,"OneHex",0,Yes,""
DF1,FLOAT,"SmallestFloat",0,Yes,""
DF2,FLOAT,"LargestFloat",0,Yes,""
DF3,FLOAT,"Pie",0,Yes,""
YD1,HEX,"SmallestWord",0,No,""
YD2,HEX,"LargestWord",0,No,""
TXT1,TEXT,"BeginningOfAlphabet",,Yes,""
TXT2,TEXT,"EndOfAlphabet",,Yes,""
TXT3,TEXT,"FirstNumber",,Yes,""
TXT4,TEXT,"LastNumber",,Yes,""
